====== LL 220 ======,,====== Heap 220 ======,,====== STL 220 ======
0.000627,,0.000535,,0.000876
0.000574,,0.000516,,0.000796
0.000573,,0.000526,,0.000702
0.00067,,0.000526,,0.000622
0.000442,,0.000475,,0.000619
0.000445,,0.000409,,0.00062
0.00045,,0.000403,,0.000634
0.000458,,0.000406,,0.000604
0.000444,,0.000414,,0.000522
0.000434,,0.000402,,0.000525
0.000443,,0.000392,,0.000519
0.000402,,0.000391,,0.000522
0.000381,,0.000399,,0.000524
0.000382,,0.000354,,0.000509
0.000382,,0.000342,,0.000463
0.000381,,0.000344,,0.000471
0.000382,,0.000343,,0.000488
0.000381,,0.000343,,0.000483
0.00039,,0.000342,,0.000489
0.00034,,0.000342,,0.000502
0.000341,,0.000343,,0.000433
0.000342,,0.000337,,0.000448
0.00036,,0.000306,,0.000395
0.000343,,0.000306,,0.000393
0.000359,,0.000306,,0.000391
0.000374,,0.000313,,0.000413
0.000447,,0.000323,,0.000393
0.000381,,0.000322,,0.000394
0.00037,,0.000322,,0.000437
0.000329,,0.000394,,0.000516
0.000313,,0.000292,,0.000478
0.000317,,0.00029,,0.000554
0.000317,,0.000291,,0.000426
0.00036,,0.000277,,0.000413
0.000361,,0.000277,,0.000455
0.000361,,0.000253,,0.000394
0.000343,,0.000252,,0.000407
0.00032,,0.000251,,0.000411
0.000305,,0.0003,,0.000405
0.000281,,0.000254,,0.000403
0.000317,,0.000252,,0.000408
0.000291,,0.000252,,0.000452
0.000281,,0.000253,,0.000516
0.000282,,0.000253,,0.000544
0.000281,,0.000252,,0.000516
0.000281,,0.000252,,0.000536
0.000281,,0.000252,,0.000544
0.00028,,0.000252,,0.000552
0.00028,,0.000251,,0.000481
0.00028,,0.000252,,0.000482
0.00028,,0.000254,,0.000486
0.000279,,0.000278,,0.00051
0.00028,,0.000277,,0.000465
0.00028,,0.000251,,0.000469
0.000281,,0.000252,,0.000464
0.000281,,0.000253,,0.000465
0.00028,,0.000253,,0.000465
0.000279,,0.000252,,0.000422
0.000282,,0.000252,,0.000423
0.000284,,0.000253,,0.000428
0.000293,,0.000252,,0.000434
0.000323,,0.000252,,0.000651
0.00028,,0.000252,,0.000412
0.00028,,0.000251,,0.000422
0.000279,,0.000302,,0.000418
0.000279,,0.000286,,0.000423
0.00028,,0.000287,,0.000524
0.00028,,0.000309,,0.000543
0.00028,,0.000309,,0.000578
0.000279,,0.000336,,0.000572
0.00028,,0.000291,,0.000699
0.00028,,0.000274,,0.000765
0.00028,,0.000255,,0.000855
0.000279,,0.000253,,0.000906
0.00028,,0.000254,,0.000678
0.00028,,0.000253,,0.000622
0.00028,,0.000253,,0.000647
0.00028,,0.000253,,0.000616
0.000281,,0.000251,,0.000625
0.000281,,0.000253,,0.000542
0.00035,,0.000253,,0.000579
0.0003,,0.000251,,0.000563
0.000281,,0.000251,,0.000542
0.000281,,0.000254,,0.000573
0.00028,,0.000254,,0.000486
0.00028,,0.0003,,0.000549
0.000279,,0.000253,,0.00047
0.00028,,0.000251,,0.000507
0.00028,,0.000253,,0.000466
0.000279,,0.000252,,0.000567
0.00028,,0.000252,,0.000434
0.00028,,0.000252,,0.000511
0.000279,,0.000252,,0.000424
0.00028,,0.000253,,0.000483
0.00028,,0.000253,,0.000415
0.000281,,0.000253,,0.000403
0.000281,,0.000251,,0.000478
0.00028,,0.000253,,0.000408
0.00028,,0.000251,,0.000484
0.000279,,0.000301,,0.000405
0.000279,,0.000251,,0.00041
0.000279,,0.000253,,0.000405
0.00028,,0.000252,,0.000409
0.00028,,0.000252,,0.000406
0.000321,,0.000251,,0.000406
0.000292,,0.000252,,0.000406
0.000281,,0.000252,,0.000394
0.00028,,0.000255,,0.0004
0.00028,,0.000252,,0.000398
0.000372,,0.000252,,0.000394
0.000308,,0.000252,,0.000396
0.000302,,0.000253,,0.000395
0.000281,,0.000251,,0.000393
0.000281,,0.000252,,0.000398
0.00028,,0.000251,,0.000398
0.000282,,0.000292,,0.000421
0.00028,,0.000264,,0.000399
0.00028,,0.000252,,0.0004
0.00028,,0.00025,,0.000531
0.00028,,0.000252,,0.000459
0.00028,,0.000251,,0.000409
0.00028,,0.000252,,0.000412
0.00028,,0.000253,,0.000417
0.000279,,0.000253,,0.00042
0.00028,,0.000251,,0.000473
0.000279,,0.000252,,0.000411
0.00028,,0.000252,,0.000403
0.000281,,0.000252,,0.000417
0.000279,,0.000253,,0.000406
0.00028,,0.000253,,0.000621
0.000279,,0.000292,,0.000578
0.000367,,0.000264,,0.00054
0.00028,,0.000251,,0.000555
0.00028,,0.000251,,0.000396
0.00028,,0.000252,,0.000393
0.000278,,0.000252,,0.000397
0.00028,,0.000252,,0.000391
0.000281,,0.000253,,0.000395
