====== LL 550 ======,,====== Heap 550 ======,,====== STL 550 ======
0.001882,,0.001339,,0.002348
0.00147,,0.001283,,0.001598
0.001422,,0.001064,,0.001575
0.001303,,0.001057,,0.001412
0.001204,,0.00105,,0.001358
0.001215,,0.001201,,0.001287
0.001077,,0.000902,,0.001244
0.001101,,0.000894,,0.001233
0.001156,,0.000805,,0.001089
0.000981,,0.000797,,0.00108
0.000944,,0.000794,,0.001141
0.000887,,0.000792,,0.000998
0.000966,,0.00085,,0.001
0.001112,,0.000733,,0.000994
0.001083,,0.000694,,0.001023
0.000959,,0.000673,,0.001175
0.000912,,0.000695,,0.001102
0.000922,,0.000673,,0.000993
0.000885,,0.000673,,0.001002
0.000887,,0.000672,,0.000993
0.000886,,0.000673,,0.000995
0.000884,,0.000673,,0.000995
0.000883,,0.000672,,0.000997
0.000908,,0.000734,,0.000997
0.00091,,0.000671,,0.001004
0.000912,,0.000721,,0.000993
0.000933,,0.000758,,0.000999
0.00091,,0.000774,,0.001007
0.000932,,0.00072,,0.000994
0.000912,,0.0007,,0.001039
0.000911,,0.000759,,0.001002
0.001003,,0.000672,,0.001032
0.000907,,0.000896,,0.001012
0.000941,,0.00071,,0.001097
0.000881,,0.000669,,0.000994
0.000887,,0.00067,,0.000996
0.000943,,0.000671,,0.001052
0.001043,,0.00067,,0.001073
0.00089,,0.00067,,0.000996
0.000882,,0.00067,,0.000996
0.000879,,0.000672,,0.000994
0.000878,,0.000674,,0.000992
0.000919,,0.000673,,0.000994
0.00088,,0.000694,,0.000996
0.000878,,0.00067,,0.001079
0.00088,,0.000671,,0.000993
0.00088,,0.000669,,0.001053
0.000882,,0.00067,,0.001002
0.000942,,0.00076,,0.001052
0.000935,,0.000789,,0.001046
0.000888,,0.000744,,0.001021
0.000885,,0.000729,,0.001006
0.000933,,0.000675,,0.000994
0.000885,,0.000672,,0.001001
0.000895,,0.000674,,0.00099
0.000885,,0.000672,,0.000993
0.000885,,0.000698,,0.001041
0.000883,,0.000671,,0.00099
0.000888,,0.00073,,0.000996
